id,Job_Role,Company,Location,Skills/Description
82,Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence"
83,Staff Data Scientist,Walmart,Bangalore/Bengaluru,"IT Skills, Data Science, Machine Learning, Big Data, Text mining, Computer vision, Publishing, Web analytics"
84,Data Scientist,CRED,Bangalore/Bengaluru,"Health insurance, Data analysis, Statistical modeling, data science, Machine learning, SCALA, Programming, Information retrieval"
85,Data Scientist / Machine learning Engineer- Python/NLP,Leading US MNC into Analytics,"Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR","machine learning, IT Skills, Data Science, python, nlp"
86,Senior/ Lead Data Scientist - Market Mix Modelling ( MMM),BLEND360 INDIA PRIVATE LIMITED,Hyderabad/Secunderabad,"Data Scientist, Market Mix Modelling, IT Skills, Python, Data Science, Cloud, AWS, Digital Marketing"
87,Data Scientist-Client Engineering,IBM,Mumbai,"Consulting, Machine learning, Healthcare, Presales, Python, Automation, data science, Analytical"
88,Sr. Data Scientist,HUDSON'S BAY SERVICES PRIVATE LIMITED,Bangalore/Bengaluru,"python, machine learning, Artificial Intelligence"
89,Sr Data Scientist,Target,Bangalore/Bengaluru,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL"
90,Senior Data Scientist -Python+ML(5-7 years),Knowledge Foundry Business Solutions Pvt. Ltd.,Bangalore/Bengaluru,"python, Web Framework, Machine Learning, tensorflow, Django, Neural Networks, flask, artificial intelligence"
91,Hiring Senior Data Scientist - AI ( Remote) || Hanu,Hanu Software Solutions,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Data Science, Artificial Intelligence, azure, IT Skills, Python, Machine Learning, Cloud, Big Data"
92,Senior Data Scientist,Course5,"Bangalore/Bengaluru, Mumbai (All Areas)","statistics, Supply chain, gcp, aws"
93,Data Scientist Opportunity with PayU - Diversity Hiring,PayU,"Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)","python, Django, pytorch, Text Mining, Predictive Analytics, Pattern Recognition, Natural Language Processing, Data Mining"
94,Data Scientist 1,PayPal,Bangalore/Bengaluru,"Data analysis, Sales operations, Consulting, Machine learning, Data mining, Operations, Analytics, Financial services"
95,Data Scientist: Advanced Analytics,IBM,Bangalore/Bengaluru,"IVR, Enterprise applications, Open source, LEX, Python, AWS services, Dynamo DB, analytical"
96,Data Scientist: Advanced Analytics,IBM,Bangalore/Bengaluru,"Interpersonal skills, Javascript, Open source, LEX, Python, advanced analytics, Architecture, Investigation"
97,Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,"Enterprise applications, Open source, AWS, Analytics, LEX, IT Skills, Automation testing, Artificial Intelligence"
98,Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,"IVR, Enterprise applications, Artificial Intelligence, Open source, Python, IT Skills, Java, AWS"
99,Data Scientist,Ashkom Media India Private Limited,"Noida, Bangalore/Bengaluru","cloud, Hive, python, Hadoop, Big Data"
100,Associate Data Scientist,IDFC FIRST Bank,"Mumbai, Pune, Bangalore/Bengaluru, Mumbai","Economics, stats Graduate, Data scientist, Machine Learning Eng"
101,Digital-Associate Process Manager - Data Scientist APM,eClerx,Pune,"Data Scientist, IT Skills, Project Management, BPO, project management, auditing, travel, story telling"
102,Data Scientist,Master Mind Consultancy,"Mumbai, Bangalore/Bengaluru","data science, Azure, NLP, Algorithms, Data Scientist, Cloud, AWS, Python"
103,Data Scientist,cliqhr.com,Bangalore/Bengaluru,"data mining, -, R, Tableau, communication, SQL, C++, Python"
104,Data Scientist,Hucon Solutions,Bangalore/Bengaluru,"Data Analysis, analytics, Data modeling, IT Skills, Machine Learning, Tableau analytics, R, SQL"
105,Data Scientist,cliqhr.com,Bangalore/Bengaluru,"SQL, Analytical, Python, Tableau, communication, data mining, Hadoop, R"
106,Lead Data Scientist,Target,Bangalore/Bengaluru,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL"
107,Lead Data Scientist,TransOrg Solutions Services (P) Ltd.,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","R, Python, SQL, Data Science, Data Manipulation, Artificial Intelligence, Linear Regression, Machine Learning"
108,Data Scientist,PRUDENT GLOBALTECH SOLUTIONS PRIVATE LIMITED,Hyderabad/Secunderabad,"python, IT Skills, Testing, Data Science, Cloud, AWS, Azure, Pytorch"
109,Junior Data Scientist,Snaphunt,Gurgaon/Gurugram,"data analysis, data mining, artificial neural networks, python, r, predictive modeling, segmentation, machine learning"
110,Junior Data Scientist,EASY DATA ANALYTICS TECHNOLOGY PRIVATE LIMITED,Noida,"Data Science, Hypothesis testing, Text mining, PowerBI, R, Tableau, GLM Algorithms, SQL"
111,Assistant Manager/Manager/Senior Manager - Data Scientist,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru","Machine Learning, Data Science, SAS, Data Scientist, Statistics, Analytics, SQL"
112,Data Scientist (freelance),2Coms,"Mumbai, Mumbai","IT Skills, Java, Python, Machine Learning, Javascript, Data Scientist"
113,Data Scientist,AutomationEdge,Pune,"Training, deep learning, Backend, Linux, Artificial Intelligence, Machine learning, Transformers, Deployment"
114,Data Scientist,Liases Foras Real Estate Rating and Research Private Limited,Mumbai Suburban,"python, sql, Hadoop Administration, Hive, Periscope, Spark, Machine Learning"
115,Data Scientist II,Groupon,Bangalore/Bengaluru,"AWS services, Data Science, NLP, Neural Networks, Data Analysis, Data Mining, Machine Learning, Deep Learning"
116,Python Developer(Data Scientist),ICAV Tech Pvt. Ltd.,Remote,"Java, R, Python, IT Skills, Software Development, Testing, Quality Assurance, Javascript"
117,Data Scientist,Liquiloans,Mumbai,"Data Scientist, Data Science, Scipy, Pandas, Scikit-learn, Numpy, programming, implementation skills"
118,Data Scientist,TotalAI Systems India LLP,Remote,"algorithms, Natural Language Processing, Deep Learning, IT Skills, Java, Python, Data Science, Tableau"
119,Mid Level Data Scientist,IBM,Ahmedabad,"data science, Machine learning, Cloud, Open source, Python, IT Skills, Software Development, Testing"
120,Data Scientist,IBM,Kochi/Cochin,"Software design, Machine learning, Open source, SQL, Python, Analytical skills, Analytical, Artificial Intelligence"
121,Data Scientist - Experienced/fresher | Kolkata,SIBIA Analytics and Consulting Services Pvt Ltd,Kolkata,"Logistic Regression, MySQL, Natural Language Processing, Time Series, Python, sql, SQL queries, machine learning"
122,Data Scientist,Amdocs,Pune,"deep learning, python, data science, machine learning, SQL, Communication Skills, artificial intelligence"
123,Service Delivery _ OSS _ Data Scientist,Ericsson Global Services,Kolkata,"Bidding, Data management, PHP, Google AdWords, HTML, microsoft, Data mining, Statistics"
124,Urgent Opening For Senior Data Scientist Role (Pune),Peoplefy Infosolutions Pvt. Ltd.,Pune(Kharadi),"Data Science, Artificial Intelligence, Machine Learning, IT Skills, Python, Predictive Modeling, Natural Language Processing"
125,Senior Data Scientist,Ocrolus East,Gurgaon/Gurugram,"Computer science, Automation, github, data science, Machine learning, Venture capital, Programming, Analytics"
126,Sr . Data Scientist / Data Scientist,fountain9,Mumbai,"IT Skills, Machine Learning, SAN, Statistical analysis, French, big data analytics, OOPS, Data structures"
127,Sr NLP & Text Mining Data Scientist,Evolent Health,Pune,"Business Intelligence, IT Skills, Python, Testing, Credentialing, Medicare, Feedback, US Healthcare"
128,"Data Scientist/ Machine Learning, 2022 Passout Can also apply",Creative Hands HR Consultancy,"Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Vadodara","python, Machine Learning, Data Scientist, IT Skills, PHP, Artificial Intelligence, software testing, freshers"
129,Senior Data Scientist,techcarrot FZ LLC,Hyderabad/Secunderabad,"IT Skills, Python, Data Science, Machine Learning, Cloud, DevOps, Azure, SAN"
130,Senior Data Scientist,Tridiagonal Solutions Pvt. Ltd.,Pune,"Relationship management, Mining, Computer science, Data management, Pharma, Consulting, Workflow, Data quality"
131,Data Scientist 1,PayPal,Chennai,"Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining"
132,Data Scientist,Muthoot Microfin,"Kochi/Cochin, Ernakulam","Predictive Modeling, Business Intelligence, Power Bi, Business Analytics, SAS, Qlik Sense, Scripting Languages, Data Mining"
133,Data Scientist (Risk / Fraud Experience is must),PayU Payments,Gurgaon/Gurugram,"Pyspark, Fraud Modelling, Risk, Data Scientist, Python, SAS, predictive analytics, Big Data"
134,"Specialist, Data Scientist",BNY Mellon,Pune,"Training, advanced analytics, data science, Programming, Representative, Management, Financial services, Analytics"
135,"Data Scientist, Enablement",Salesforce,Hyderabad/Secunderabad,"Data analysis, Production engineering, Machine learning, Salesforce.com, Open source, Analytics, SQL, Python"
136,"Data Scientist, Product Analytics",PayPal,Chennai,"Computer science, Product engineering, data science, Project management, Consulting, Machine learning, Engineering Design, Financial services"
137,Data Scientist,PayPal,Chennai,"remediation, Data analysis, Project management, Analytical, Back office, linear regression, Analytics, Financial services"
138,Data Scientist 1,PayPal,Chennai,"Computer science, Statistical programming, Data modeling, Analytical, Machine learning, QlikView, Business intelligence, Financial services"
139,Data Scientist,Impetus,Gurgaon/Gurugram,"Natural Language, Hive, NLP, Vision, Hyperparameter tuning, Data Wrangling, Machine learning, TensorFlow"
140,Sr. Associate - Data scientist -Affine.Ai,CHANGE LEADERS CONSULTING,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Logistic Regression, R programming, Python, Machine Learning, Statistical Modeling, analytical, advanced statistics, SQL"
141,Sr. Associate - Data scientist -Affine.Ai,CHANGE LEADERS CONSULTING,"Hyderabad/Secunderabad, Bangalore/Bengaluru","advanced statistics, Python, analytical, Statistical Modeling, R programming, Machine Learning, Logistic Regression, IT Skills"
142,Junior Data Scientist,KWALEE INDIA PRIVATE LIMITED,Bangalore/Bengaluru,"Data Science, Tensorflow, NoSQL, Data Management, Statistical Modeling, Data Analysis, Machine Learning, Deep Learning"
143,Manager - Data Scientist - Analytics,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,"data analytics, Data Scientist, Machine Learning, Data analysis, python, SAS, data engineering, SQL"
144,Need immediate joiners - Data Scientist,Hucon Solutions,Kolkata,"data scientist, Data modeling, analytics, IT Skills, Cloud, R, Tableau, machine learning"
145,Lead Data Scientist - CPG/BFSI/Healthcare Domain,TalentCo Search Pvt Ltd,Pune,"end-to-end, EDA, visualizations, insights, monitoring, modelling, problem scoping, R"
146,Data Scientist - Machine Learning,Career Infosystem,Noida,"Machine Learning, Predictive modeling, MongoDB, Spark, Python, Deep Learning stack, NLP, Hadoop"
147,Data Analyst/data Scientist - C++/c#/java,Confidential,Hyderabad/Secunderabad,"software development, Data Mining, Machine Learning, Java, C#, Hadoop, communication, C++"
148,Data Analyst / Data Scientist - C++/c#/java,Confidential,Hyderabad/Secunderabad,"C#, Java, architecting, C++, software development, Data Scientist, Hadoop, Data Analysis"
149,Data Analyst/ Data Scientist - C++/c#/java,Confidential,Hyderabad/Secunderabad,"Java, software development, Machine Learning, C++, Hadoop, Data Mining, communication, algorithms"
150,Senior AI Scientist - SAP Procurement Data Science Team,SAP India Pvt.Ltd,Bangalore/Bengaluru,"Python, IT Skills, Java, Data Science, Machine Learning, Cloud, SAP, Procurement"
151,Data Scientist,ALOIS TECHNOLOGIES LLP,"Pune, Bangalore/Bengaluru","computer vision, Machine Learning, Deep Learning, PowerPoint, VoTT, Git, CUDA, Keras"
152,Data Scientist - Internet Jobs - II,Jobs Territory,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Data Science, Data Analysis, NLP, Neural Networks, Data Mining, Machine Learning, AWS, Deep Learning"
153,Data Scientist,Randstad India Private Limited,Bangalore/Bengaluru,"Data science, Tableau, Python, SQL, Data scientist, Data Visualization"
154,Data Scientist,TAMCHERRY TECHNOLOGIES PRIVATE LIMITED,"Kochi/Cochin, Bangalore/Bengaluru","Big Data, Machine Learning, Python, IT Skills, Data Science, Cloud, AWS, Azure"
155,Data Scientist,Aurigo Software Technologies Pvt Ltd,Bangalore/Bengaluru,"Data Science, Natural Language Processing, Big Data, Python, IT Skills, Cassandra, Kafka, MongoDB"
156,Data Scientist,Aidetic Software Pvt Ltd,Bangalore/Bengaluru,"Data Science, Python, Opencv, Scipy, NLTK, Numpy, Tensorflow, Pytorch"
157,Jr. Data Scientist,TEOCO Software,Bangalore/Bengaluru,"R, Alteryx, Statistics, SQL, Python"
158,Senior Data Scientist,TrueView HR Consulting Pvt. Ltd,"Pune, Bangalore/Bengaluru","Data Science, IT Skills, Python, Testing, Machine Learning, Cloud, AWS, Tableau"
159,Senior Data Scientist - Global Product Organisation.,Spencer N Hills Consulting Pvt Ltd,Bangalore/Bengaluru,"advanced analytics, data science, machine learning, Python"
160,Data Scientist,2Coms,"Bangalore/Bengaluru, Bangalore North","Tensorflow, Python, Caffe, MxNET, Keras, written communication, PyTorch, Agile"
161,Data Scientist,TEKISHUB CONSULTING SERVICES PRIVATE LIMITED,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Azure Machine Learning, Pandas, KNN, Regression, Azure ML, Matplotlib, Data science, Machine Learning"
162,Data Scientist,CARDINAL HEALTH INTERNATIONAL INDIA PRIVATE LIMITE,Bangalore/Bengaluru,"Data Scientist, Machine Learning, Python"
163,Data Scientist,Encora,Bangalore/Bengaluru,"Python, Neural Networks, Regression Analysis, Pytorch, R, Scikit, Bayesian Networks, K - means"
164,Data Scientist | Zipcar,TALENT500 TECH (INDIA) PRIVATE LIMITED,Bangalore/Bengaluru,Machine Learning
165,Data Scientist,Contactx India,Bangalore/Bengaluru,"AWS, Lambda, Cloud formation, ETL, R Programming, Python, API Gateway, Azure DevOps"
166,Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,"Computer science, Enterprise applications, Open source, Analytics, SQL, Computer languages, Simulation, Debugging"
167,Data Scientist,IBM,Bangalore/Bengaluru,"Unix, VMware, Networking, Virtualization, SQL, IT Skills, Python, Machine Learning"
168,Data Scientist,NSE.IT Ltd,Mumbai,"CNN, deep AI, Python, keras, tensorflow, machine learning, LSTM, NLP"
169,Principal Data Scientist,NSE.IT Ltd,"Mumbai, Pune","IT Skills, Python, Testing, Cloud, Big Data, AWS, Tableau, Computer vision"
170,Data Scientist/Machine Learning Specialist,CARDINAL HEALTH INTERNATIONAL INDIA PRIVATE LIMITE,Bangalore/Bengaluru,"machine learning, Python, tensorflow, Artificial Intelligence, Natural Language Processing, Neural Networks"
171,Data Scientist - Python/Machine Learning,Corner Tree Consulting,"Mumbai, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Python, R, Statistical Analysis, Data Analytics, CICD, Net Core, Machine learning, DevOps"
