id,Job_Role,Company,Location,Skills/Description
1552,Senior Analyst-Data Visualization,Accenture,Gurgaon/Gurugram,"Publishing, Architecture, Artificial Intelligence, Consulting, Analytics, Business administration, Excel, data visualization"
1553,Senior Analyst-Data Visualization,Accenture,Gurgaon/Gurugram,"Publishing, Architecture, Artificial Intelligence, Consulting, Analytics, IT Skills, Cloud, Tableau"
1554,Senior Analyst-Data Maintenance,Accenture,Hyderabad/Secunderabad,"Test scripts, Reconciliation, Consulting, Test case creation, Clinical data management, IT Skills, Cloud, Manual"
1555,Senior Analyst-Data Maintenance,Accenture,Chennai,"Pharmacy, Reconciliation, Consulting, Clinical data management, clinical data, Test scripts, Test case creation"
1556,Senior Analyst-Data Maintenance,Accenture,Hyderabad/Secunderabad,"Test scripts, Reconciliation, Consulting, Test case creation, Clinical data management, Design development, Manual"
1557,Amex is hiring For Analyst/ Sr. Analyst - Data Governance,AMERICAN EXPRESS,"Gurgaon/Gurugram, Delhi / NCR","data governance, data quality, metadata, python, data management, data steward, Data Stewardship, data lineage"
1558,Senior Data Analyst,Grofers,Gurgaon/Gurugram,"Java, Hive, Hadoop, Big Data, Data Analysis, Spark, Python"
1559,Sr Data Analyst I,IHS Markit,Gurgaon/Gurugram,"Debugging, Batch Programming, Tableau, MS - EXCEL, PL / SQL, Python, Root Cause Analysis, IT Skills"
1560,Senior Analyst-Data Visualization,Accenture,Gurgaon/Gurugram,"Publishing, Consulting, Analytics, IT Skills, Artificial Intelligence, Cloud, Tableau, Architecture"
1561,Senior Data Analyst/Senior Data Analyst,Bajaj Finserv,Pune,"SFDC, spark, power bi, Data Analyst, Management, SSIS, Operations, ETL tool"
1562,Senior Analyst-Data Visualization,Accenture,Mumbai,"Analyst, Publishing, Architecture, qlik sense, Consulting, Client relationship, data visualization, microsoft"
1563,Senior Analyst-Data Maintenance,Accenture,Hyderabad/Secunderabad,"IT Skills, Cloud, Analyst, Data management, Test scripts, Reconciliation, Consulting, Database"
1564,Senior Analyst-Data Maintenance,Accenture,Hyderabad/Secunderabad,"Analyst, Data management, Test scripts, Reconciliation, Consulting, Database, Client relationship, Individual Contributor"
1565,Senior Analyst-Data Visualization,Accenture,Gurgaon/Gurugram,"IT Skills, Artificial Intelligence, Cloud, Tableau, Analytical skills, Analyst, Publishing, Process orientation"
1566,Senior Analyst-Data Science,Accenture,Mumbai,"Publishing, Artificial Intelligence, Consulting, Analytics, Python, IT Skills, Data Science, Cloud"
1567,Senior Data Analyst,Uber,Hyderabad/Secunderabad,"Microstrategy, Computer science, Data analysis, Google Analytics, Web analytics, Javascript, Omniture, Business intelligence"
1568,Senior Data Analyst I,AXA Technology Services India Pvt. Ltd,Gurgaon/Gurugram,"Process improvement, Analytical, Relationship building, Demand management, Agile, Forecasting, Analytics, SQL"
1569,Senior Data Analyst II,AXA Technology Services India Pvt. Ltd,Gurgaon/Gurugram,"Data analysis, Claims, Data management, Project management, MIS, Analytical, data governance, Data quality"
1570,Senior Data Analyst - Product Analytics,Freshworks,Chennai,"IT Skills, Python, Data Science, Tableau, Power BI, Computer science, Market analysis, Logistic regression"
1571,Senior Data Research Analyst,Morningstar,Mumbai,"BPO, Outbound, Business analysis, Fixed income, Analytical, Hedge funds, Data Research Analyst, Data collection"
1572,Sr. Data Analyst - Vehicle Forecasting-2,IHS Markit,Gurgaon/Gurugram,"IT Skills, Python, Big Data, Tableau, Computer science, Data analysis, IHS, data manipulation"
1573,Data Entry Analyst,Digi Verve Technologies Private Limited,Bengaluru,"MS Excel, Predictive modeling, R, MongoDB, analytical, Python, Customer Profiling, IT Skills"
1574,Data Analyst 1,Optum,Bangalore/Bengaluru,"SQL development, Unix, System Development, Linux Shell Scripting, DataStage, Data Analysis, big data technologies, Data warehouse development"
1575,Analyst-Clinical Data Management (CDM),Accenture,Bangalore/Bengaluru,"Test scripts, Reconciliation, Consulting, Unit testing, Clinical data management, IT Skills, Testing, Cloud"
1576,Analyst-Data Visualization,Accenture,Bangalore/Bengaluru,"Publishing, Architecture, Consulting, microsoft, Analytics, IT Skills, Artificial Intelligence, Cloud"
1577,Data Analyst III,Walmart,Bangalore/Bengaluru,"T, Tableau, communication, SQL server, agile, Google Big, development, Jira"
1578,Data Analyst / Business Analyst,METRO Cash & Carry,Bangalore/Bengaluru,"Python, VBA, analyst, business analyst, Analytics, data analyst"
1579,"Analyst, Item Data",HUDSON'S BAY SERVICES PRIVATE LIMITED,Bangalore/Bengaluru,"item setup, Buying Team, item data"
1580,Business and Data Analyst,CAREERDOST ENTERPRISE,Bangalore/Bengaluru,"Business Analysis, product management, marketing analytics, digital campaigns, ad operations, Campaign Management, Digital Marketing, Sales Analytics"
1581,ASSISTANT DATA ANALYST,Aditya Pharmacy,Hyderabad/Secunderabad,Data Analyst
1582,Data Transformation Analyst,IHS Markit,Noida,"capital markets, financial analysis, financial statement analysis, Financial statements, Corporate actions, equity derivatives, IHS, Customer support"
1583,Analyst - Content and Data Management,eClerx,Mumbai,"Content, Data Management, written, excel, communication, Quality Check, Content writing"
1584,Intern - Business Analyst / Data Analyst,Faurecia,Pune,"Excel, advanced excel, Data Analysis, Reporting, Business Analysis"
1585,Data Analytics - Analyst,KPMG,Mumbai,"data cleansing, SAP, SAS, PeopleSoft, Data collection, Oracle, Data mining, SSIS"
1586,Data Analyst-Internship,"PerkinElmer, Inc.",Hyderabad,"SAP, Business analytics, Data Analyst, Internship, Inventory, Lotus Notes"
1587,"Senior Associate, Senior Reporting Analyst, Data Management",Pfizer,Chennai,"Operational excellence, EDC, Management systems, Clinical trials, Healthcare, Document management, data visualization, Analytics"
1588,Data Scientist - Indian Analytics - Model Building Experts - ML,Wow Jobs (Wow Softech Pvt. Ltd),Remote,"python, data analytics, training needs, Indian Analytics, project delivery, machine learning, business operations, change management"
1589,Senior Data Engineering Analyst,Myndrix Technologies LLP,"Chandigarh, Bangalore/Bengaluru, Mumbai (All Areas)","Python Data Analytics, Alteryx, SQL, Pandas, Snowflake / Redshift, AWS, Numpy, Web Scraping"
1590,Data & Applied Scientist II,Microsoft,Bangalore/Bengaluru,"C, Python, Java, IT Skills, Machine Learning, Product quality, Training, C++"
1591,Senior Data Engineer (Support) - Gamma,Boston Consulting Group,"Bangalore/Bengaluru, Delhi / NCR","Data Engineering, Hive, Technical Support, Big Data"
1592,"BI Platform, Senior Data Engineer (5A)",Uber,Bangalore/Bengaluru,"hive, Automation, Warehouse, tableau, GCP, Cloud Services, spark, big data"
1593,Sr Big Data Engineer,Wipro,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Spark, big data, IT Skills, Java, Python, Testing, Cloud, Jenkins"
1594,Staff Engineer / Sr. MTS / MTS III - Big Data Engineer,Vmware,"Pune, Bangalore/Bengaluru","VMware, Cloud computing, Automation, Data analysis, Coding, Agile, Scrum, Customer support"
1595,Senior Data Engineer - Gamma,Boston Consulting Group,"New Delhi, Gurgaon/Gurugram, Bangalore/Bengaluru","Data Engineering, Pyspark, Hive, Hadoop Development, big data, Python, SQL"
1596,Data Engineering Analyst,Optum,Bangalore/Bengaluru,"Data Engineering, SPSS, SQL, Data Transformation, R, Data Quality, Excel, Statistical Software"
1597,BODS Data Migration Sr. Analyst / Lead - Immediate c2h,Orcapod Consulting Services Private Limited,"Hyderabad/Secunderabad, Bangalore/Bengaluru","configuration, issue resolution, sap data services, data migration, sql"
1598,Data Engineer - VCA Data Engineering,Visa,Bangalore/Bengaluru,"IT Skills, Python, Data Science, Machine Learning, Program Management, Big Data, Tableau, Unix"
1599,Lead Data Analyst - Risk Analytics,Gojek,Bangalore/Bengaluru,"Computer science, Data modeling, Risk analytics, Analytical, Machine learning, data visualization, Risk management, Financial services"
1600,data analyst/ data analytics / Business analyst- SQL/Python/SAS,Leading US MNC into Analytics,"Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR","sql, Python, Tableau, IT Skills, data analytics, data analysis, SAS"
1601,Lead Data Analyst,Morningstar,Mumbai,"Automation, Corporate actions, Data management, Analytical, Data collection, Workflow, Data quality, market data"
1602,Lead Business Funtional Analyst - Data Governance,Deutsche Bank,Pune,"Data management, Diversity and Inclusion, data governance, German, Project planning, Data quality, HTML, Training and Development"
1603,Lead | Data | Research Analyst | Day Shift,"Revnew, Inc.",Pune(Kharadi),"Contact Discovery, Data Research, Lead Generation, salesnavigator, Market Research, Primary Research, cdqa, zoominfo"
1604,"Senior Analyst, Data Science (I6)",Dell International Services IndiaPrivate Limited,Bangalore/Bengaluru,"Data warehousing, IT Skills, Python, Data Science, Machine Learning, Cloud, Project Management, Big Data"
1605,Sr Data Analyst,TECHNODYSIS PRIVATE LIMITED,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Data Analysis, SQL Queries, Data Warehousing Concepts, SQL"
1606,Azure Data Engineer - Senior Associate 1,PwC,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Computer science, NoSQL, Data modeling, Powershell, data governance, Cosmos, Microsoft technologies, Analytics"
1607,TEKsystems is hiring For Senior Data Analysts,Allegis Services India Pvt. Ltd.,Remote,"SQL, Python, SQL queries, agile, PySpark, PySpark API, R, communication"
1608,Data Analyst/Senior Data Analyst - Talent Acquisition Centre,Meesho,Bangalore/Bengaluru,"advanced Excel, Data Analysis, Tableau, Data Analytics, Talent Acquisition, Data Management, Rewards, Statistics"
1609,Senior Data Analyst,CarDekho,Gurgaon/Gurugram,"Operations research, Business analytics, Analytical, MySQL, Customer service, data visualization, Analytics, Automotive"
1610,Senior Data Analyst,Dun & Bradstreet,Hyderabad,"Requirement Analysis, data analysis, metadata, Cloud, Data structures, DNB, Data Analyst, Management"
1611,Data Center Ops Senior Analyst,NTT DATA,Noida,"customer service, troubleshooting, written communication, verbal, Business process, IT services, Analyst, Automation"
1612,Senior Analyst-Finance Data Maintenance,Accenture,Gurgaon/Gurugram,"Content management, Publishing, Financial analysis, Consulting, Financial planning, Business administration, Master data management, Management"
1613,Senior Analyst-Data Science,Accenture,Mumbai,"Publishing, Architecture, Consulting, Machine learning, Analytics, IT Skills, Data Science, Artificial Intelligence"
1614,Sr. Data Analyst,Neustar,Hyderabad/Secunderabad,"Tableau, presentation, communication, Excel, Hive, Spark, BigQuery, SQL"
1615,Sr . Data Analyst,Ingram Micro,Chennai,"IT Skills, Java, Python, Testing, Oracle, Big Data, AWS, Unix"
1616,Senior Data Analyst,Bewakoof.com,Mumbai,"Accessories, Data analysis, Google Analytics, Web analytics, Machine learning, Predictive modeling, Data Analyst, Reporting tools"
1617,Jr . Data Analyst,Armorblox,Bangalore/Bengaluru,"DevOps, database programming, NLP, Machine learning, Threat, IT Skills, remediation, data science"
1618,Advanced Business Analyst I - Data Analytics,Novo Nordisk India,Bangalore/Bengaluru,"Qa, R, Oracle Database, Software Engineering, Scrum Master, Quality Management, Clinical Data Management, Data Warehousing"
1619,FIBI Master Data Management Analyst,Cargill,Bangalore/Bengaluru,"Service level, ERP system, Master data management, Workflow, data management analyst, Data quality, Data Analyst, Supervision"
1620,Associate Data Engineer,Ingram Micro,Chennai,"IT Skills, Big Data, Supervisor, Commerce, Technology solutions, Business solutions, Individual Contributor, Supervision"
1621,Data Analyst - Alteryx,Capco,Bangalore/Bengaluru,"Data analysis, Data processing, Data quality, Asset management, Information management, Visio, Stakeholder management, Financial services"
1622,Consultant - Data Analyst,Flipkart,Bangalore/Bengaluru,"Data modeling, MIS, VB, Macros, Analytics, Data validation, QlikView, Reporting tools"
1623,Jr. Data Analyst,Institutional Shareholder Services,Mumbai,"Claims, Corporate governance, Business research, Analytical, Data collection, ISS, MS Office, Financial services"
1624,Data Analyst,TOTAL MARKETING SUPPORT INDIA PRIVATE LIMITED,Gurgaon/Gurugram,"Power Bi, Advanced Excel, Dashboards, VBA, Data Analysis, Data Warehousing, Data Analytics, Data Reporting"
1625,Data Analyst,Thrillophilia,Jaipur,"Business objects, PDF, Database design, Process improvement, Data collection, Data Analyst, Data analytics, Data mining"
1626,Associate Lead Data Analyst/Associate Lead Data Analyst,Bajaj Finserv,Pune,"SFDC, spark, Management, SSIS, Operations, ETL tool, SLAS, Associate Lead"
1627,Lead / Sr.Data Engineer | Leading Product Company | Bangalore,Volks Consulting,Bangalore/Bengaluru,"Bi Tools, Data Modeling, ETL, SQL Scripting, Snowflake / Redshift, Informatica, OBIEE, R Program"
1628,Associate Data Analyst,Optum,Bangalore/Bengaluru,"Power BI, C# scripting, SSRS, AGILE, Tableau, SSIS, MSSQL, communication"
1629,Associate Data Analyst,Optum,Bangalore/Bengaluru,"Data Analysis, IT Skills, Software Development, Testing, Oracle, MS SQL, Sharepoint, Tableau"
1630,Sr Analyst Data Engineer,Deutsche Bank,Pune,"Unix, Microstrategy, SAS, Agile, PLSQL, Application development, Scrum, Informatica"
1631,Data Analyst/Data Engineer,Coforge,"Noida, Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru","Spark, scala, Nifi, Cloudera, Data Analyst, Analytics"
1632,Senior Data Engineer,Nexthink,Bangalore/Bengaluru,"IT Skills, Java, Python, Data Science, Machine Learning, Cloud, DevOps, Computer science"
1633,Senior Big Data Engineer,Fractal Analytics,"Mumbai, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru","Big data developer, Pyspark, Azure, SCALA, Hadoop Development, Big Data, Core spark, spark developer"
1634,Data Engineering - Business Operations Senior Specialist,Telstra,Bangalore/Bengaluru,"Automation, Vendor Manager, Billing, Resourcing, Strategic planning, Resource management, Stakeholder management, Operations"
1635,EY-Advisory - Data and Analytics Senior Snowflake Data Engineer,EY,Bangalore/Bengaluru,"sql scripting, snowflake, plsql, IT Skills, Cloud, DevOps, AWS, Azure"
1636,Sr . Data Engineer,VISA,Bangalore/Bengaluru,"Scala, Java, IT Skills, Software Development, Testing, Computer science, Post production, development testing"
1637,Senior Data Engineer,Cargill,Bangalore/Bengaluru,"Supply chain, ERP, SAP, Data modeling, XML, Flex, Technical support, SQL"
1638,Senior Data Engineer,Cargill,Bangalore/Bengaluru,"Coding, Application programming, Cloud, Data structures, big data, Application software, Technical support, Reporting tools"
1639,Senior Data Engineer,Wells Fargo,Bangalore/Bengaluru,"Apache Spark, Data Engineering, SQLServer, SSIS, Engineering, Cloud essentials, Abinito, DBMS"
1640,Senior Data Engineer,Wells Fargo,Bangalore/Bengaluru,"Data Engineer, Unix, webservices, presentation skills, problem solving, team player, Teradata, Apache"
1641,Senior Data Engineer,Wells Fargo,Bangalore/Bengaluru,"SQL, webservices, System Testing, problem solving, team player, Apache, SDLC, REST API"
1642,Senior Data Engineer,Wells Fargo,Bangalore/Bengaluru,"SQL, IT Skills, Python, Software Development, Testing, Cloud, Unix, webservices"
1643,Senior Data Engineer,Wells Fargo,Bangalore/Bengaluru,"Data Engineering, metadata, Shell Scripting, Data Engineer, QA testing, Informatica, Unit testing, Autosys"
1644,Senior Data Engineer,Wells Fargo International Solutions Private Ltd,Bangalore/Bengaluru,"SQL, Unix, Troubleshooting Skills, Software Services, DB2, AbInitio, Data Warehousing, Data Modeling"
1645,Senior Analyst / Team Leader - Data Processor,Golden Opportunities Pvt Ltd,Mumbai,"Quantum, Tabulation Program, MRDCL, ASCII SPSS Excel, Data Processor, Market Research"
1646,Data Analyst,Allegis Services India Pvt. Ltd.,Bangalore/Bengaluru,"NoSQL, cassandra, Analytics, SQL, Python, data services, SCALA, Data warehousing"
1647,Lead Data Analyst,Zilingo.com,Bangalore/Bengaluru,"customer segmentation, data science, Trend forecasting, Inventory management, E-commerce, Data analytics, private label, Data warehousing"
1648,Lead Financial Data Analyst,Moody's,Bangalore/Bengaluru,"Financial Research, Financial Statements, Credit Analysis, Accounting, Report writing, Financial Statement Analysis, Fundamental Research"
1649,Lead Financial Data Analyst,Moody's,Bangalore/Bengaluru,"Finance, Financial Statements, Financial spreading, Excel, Accounting, Financial Statement Analysis, Ratio Analysis"
1650,Senior Data Analyst,Shell,Bangalore/Bengaluru,"MS SQL, Analysis Services, SSAS, SSRS, Big Data, SSIS, SQL Azure, Cosmos"
1651,Senior Data Analyst,Seven Consultancy (HR Solution),Bangalore/Bengaluru,"Procurement, data science, big data analytics, Analytical, Data collection, big data analyst, Consultancy, Data Analyst"
1652,Sr. Data Analyst,Multi Recruit,Bengaluru,"Computer science, Data analysis, Application programming, Analytical, Machine learning, Data Analyst, Business modeling, data visualization"
1653,Senior Data Analyst,novo,Gurgaon/Gurugram,"Computer science, Senior Data Analyst, Cash flow, Business management, Data Analyst, Entrepreneur, Business intelligence, Business banking"
1654,Senior Data Analyst - SQL | Advance Auto Parts,TALENT500 TECH (INDIA) PRIVATE LIMITED,Hyderabad/Secunderabad,sql
1655,Data Preparation Analyst / Sr . Analyst,Xpheno,"Gurgaon/Gurugram, Bangalore/Bengaluru","Supply chain, Computer science, business intelligence reporting, Cloud computing, customer analytics, Data management, GCP, MySQL"
1656,Senior Data analyst (Azure / MDM),Syneos Health,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru","salesforce, Data analyst, Azure Databricks, python, MDM, Unix Shell Scripting, Data Warehousing, SQL"
1657,Senior Data Analyst,Urban Company,"Gurgaon/Gurugram, Bangalore/Bengaluru","IT Skills, Python, Data Science, Machine Learning, Logistic regression, advanced analytics, Schema, Data Analyst"
1658,Senior Data Science Analyst,Otis,"Hyderabad, Ahmedabad, Bengaluru","data science, Machine learning, Marketing operations, power bi, data mapping, data visualization, Individual Contributor, Forecasting"
1659,Advisory - Consulting AcOE - Data Engineering - Senior Associate,PwC,Bangalore/Bengaluru,"Computer science, Assurance, Data management, Consulting, PLSQL, Business intelligence, Cosmos, SQL"
1660,Sr Data Product Analyst,PayPal,Bangalore/Bengaluru,"Computer science, Microstrategy, metadata, Data modeling, Data processing, Wellness, Teradata, Distribution system"
1661,Data Analyst- Sr Data Analyst,Smith+Nephew Healthcare,Pune,"Power Bi Tableau, Power Bi, SQL Server, SQL, Dax, Azure, Alteryx, MSBI"
1662,Sr Data Management Analyst,Moody's,Bangalore/Bengaluru,"Python, Data Quality, Data Enrichment, Master Data Management, Cmbs, Data Modeling, Business Process Analysis, Data Governance"
1663,Senior Data Analyst,Mobile Premier League (MPL),Bangalore/Bengaluru,"Data Anlalytics, Business Analytics, predictive analytics, Data Modeling, SQL"
1664,Sr . Data Analyst,cloudneeti,Bangalore/Bengaluru,"Computer Science, Big Data, Tableau, Data Analytics, Python, Sql, Security Services"
1665,Data Analyst Sr,AllianceData,Bangalore/Bengaluru,"Relationship management, SAS, Business analysis, Risk analytics, Analytical, Data mining, Forecasting, Portfolio management"
1666,Senior Data Analyst,Bukuwarung,Bangalore/Bengaluru,"Computer science, Analytical skills, Analytical, Marketing operations, Data Analyst, data visualization, Analytics, SQL"
1667,Senior Data Analyst,Saffron Careers Private Limited,Bangalore/Bengaluru,"Analytical, Machine learning, Javascript, Algorithm development, Statistical software, Data Analyst, Open source, Analytics"
1668,Sr. SAP Hana Data Analyst,Anicalls,Bangalore/Bengaluru,"IT Skills, Oracle, SAP, Business analysis, Workflow, business rules, Data Analyst, Informatica"
1669,Senior Data Analyst,FINNOVATION TECH SOLUTIONS PRIVATE LIMITED,Bangalore/Bengaluru(Old Madras Road),"SQL, SQL Programming, Data Analytics, PythonProgramming, Python, numphy, Data Organization, Data Analysis Tools"
1670,Senior Data Science Analyst,Otis,Bangalore/Bengaluru,"Training, Analyst, Sales, data science, Machine learning, Marketing operations, Individual Contributor, Forecasting"
1671,Sr. Data Analyst,Bloom Consulting Services,Bengaluru,"Analytical skills, SQL queries, Consulting, Schema, Senior Data Analyst, QlikView, big data, Fact"
1672,Sr Data Analyst,CodeHall Technology,Bengaluru,"analytics, Matlab, Pig, R, Hbase, Hadoop, SAS, SQL"
1673,Senior Data Analyst - Collibra,Shell,Bangalore/Bengaluru,"Collibra, Data Cataloguing, Data Governance, Agile Framework, Metadata Management, Data Management, Data Analysis, Azure Devops"
1674,Senior Analyst - Data Strategy & Infrastructure,Phenom Placement Consultancy,Bengaluru,"Data validation, Senior Analyst, Hyperion, Analytical, Server management, Investment banking, Informatica, Principal"
1675,Senior Data Analyst,jupiter,Bengaluru,"Statistical programming, data science, Risk analytics, Analytical, Schema, CMS, HTML, Data warehousing"
1676,Sr Data Analyst,CodeHall Technology,Bengaluru,"data analysis, troubleshooting, IT Skills, Product Management, Retail, Diagnostics, Manager Technology, Forensic"
1677,BI Developer / Senior Data Analyst,Brandmuscle,Bangalore/Bengaluru,"IT Skills, Quality Assurance, Azure, Manager Quality Assurance, Data modeling, Business analysis, XML, Data Analyst"
1678,Senior Data and Reporting Analyst,DOCS,"Chennai, Bangalore/Bengaluru","Analytical skills, Data analysis, Reporting Analyst, Quality check, management, data reporting, Process improvement, Metrics analysis"
1679,Senior Data & amp ; Reporting Analyst,DOCS,"Chennai, Bangalore/Bengaluru","Analytical skills, Data analysis, Senior management, Quality check, Reporting Analyst, data reporting, Process improvement, Metrics analysis"
1680,Senior Data Analyst,Conviva,Bangalore/Bengaluru,"Data analysis, metadata, Social media, Analytical, Data processing, Data quality, Data mining, CCTV"
1681,Senior Data Analyst - SQL | 3M-TCOE,TALENT500 TECH (INDIA) PRIVATE LIMITED,Bangalore/Bengaluru,"SAP Webi, SQL"
1682,Senior Data Analyst,PM Group,Bangalore/Bengaluru,"Process automation, Computer science, Consulting, power bi, Data analytics, Life sciences, HTML, Business strategy"
1683,Senior Data Analyst,Jupiter.money,Bangalore/Bengaluru,"Data Science, R, Risk Analytics, Data Analyst, Data Analytics, Marketing Analytics, Consumer Insights, Python"
1684,"Senior Data Analyst, Data & Analytics",ReSource Pro Operational Solutions Pvt Ltd.,Bangalore/Bengaluru,"Data Visulization, Data Modelling, R, Open Refine, Statistical Analytics, Talendsuite, Data and Analytics, Data Mapping"
1685,"Senior Analyst, Business Intelligence & Data Science",Ciena,Gurgaon/Gurugram,"Data Science, Business Intelligence, Power BI, Advanced Analytics, Alteryx, Predictive Modelling, Advanced Excel, Data Modeling"
1686,Senior Analyst-Data Science,Accenture,Mumbai,"Publishing, Consulting, Analytics, SQL, Python, Architecture, data science, Artificial Intelligence"
1687,Senior Analyst-Data Management,Accenture,Gurgaon/Gurugram,"Publishing, Data management, Consulting, SSIS, Analytics, Architecture, Artificial Intelligence, SQL Server integration services"
1688,Senior Analyst-Data Management,Accenture,Mumbai,"Publishing, Data management, Consulting, SQL, Python, IT Skills, Artificial Intelligence, Cloud"
1689,Senior Analyst-Data Management,Accenture,Mumbai,"Backend, Data management, Database design, Consulting, Analytics, Publishing, Web services, Architecture"
1690,Senior Analyst-Finance Data Maintenance,Accenture,Noida,"Content management, Publishing, Master data management, Consulting, Operations, IT Skills, Cloud, Financial operations"
1691,Sr Tech Operations Analyst-Data Management Governance,Ameriprise Financial,Gurgaon/Gurugram,"Service management, remediation, Operations Analyst, Data analysis, IT risk, Data management, Financial planning, Asset management"
1692,Senior Analyst-Data Science,Accenture,Mumbai,"Consulting, Data Mining, Analytics, Publishing, Excel, Architecture, data science, Machine learning"
1693,Senior Analyst-Data Management,Accenture,Hyderabad/Secunderabad,"IT Skills, Testing, Artificial Intelligence, Cloud, AWS, Analyst, Data analysis, Publishing"
1694,Financial Markets-Senior Analyst- Reference Data - Product,eClerx,Mumbai,"Margins, Collateral Management, Loan Services, Investment Banking, Middle Office, Finance, Reference Data, Derivatives"
1695,Senior Data Science Analyst,Everi India,"Hyderabad/Secunderabad, Mangaluru/Mangalore, Chennai","Python, SQL, Alteryx, KNIME, Tableau, Azure, IT Skills, Cloud"
1696,Analyst- Data Science,Accenture,Bangalore/Bengaluru,"Data Science, Predictive Modeling, data models, data mining, machine learning, Analytics"
1697,Analyst - Data Intelligence Group,TresVista Financial,"Mumbai, Pune, Bangalore/Bengaluru","Computer science, Industry research, Fund administration, power bi, Data analytics, DBMS, QlikView, Operations"
1698,"Information Analyst, Data Management",Ocwen,Bangalore/Bengaluru,"Informatica Powercenter, BPO, travel, scheduling tool, SQL Queries, Etl Scripts"
1699,Data Analyst I,Bioclinica,Bangalore/Bengaluru,"CRO, Data analysis, Data collection, Clinical trials, Data processing, Data quality, Manager Quality Control, Troubleshooting"
1700,Data Analyst Internship,Heart It Out,Bangalore/Bengaluru,"tableau, Google Analytics, MySQL, Healthcare, HTTP, Data Analyst, Manager Quality Control, Data mining"
1701,Data Analyst-Logistics Billing Division,ARDEM Data Services Pvt. Ltd,Remote,"bill of lading, Invoice Processing, logistics, Data Processing, Data Entry"
1702,Research Analyst - BIRAC Ki Data,St. JohnÃ¢Â?Â?s Research Institute,Bangalore/Bengaluru,"R, Logistic Regression, Linear Regression, Data Analysis, Technical Reports, Research Analyst, Machine Learning, Statistics"
1703,Data Analyst,Enrich talents,Bangalore/Bengaluru,"Data Analysis, cloud analytics, Big Data Analytics, advanced excel, ecommerce, Data Mining, statistics"
1704,Data Analyst,St. John’s Research Institute,Bengaluru,"Nutrition, Coding, CRC, Data Analyst, Research, Bioinformatics, Python"
1705,Analyst-Finance Data Maintenance,Accenture,Bangalore/Bengaluru,"Content management, Publishing, Consulting, Financial planning, Operations, Business administration, Master data management, data governance"
1706,Analyst-Data Visualization,Accenture,Bangalore/Bengaluru,"Publishing, Consulting, Business intelligence, Analytics, SQL, IT Skills, Artificial Intelligence, Architecture"
1707,Analyst-Data Management,Accenture,Bangalore/Bengaluru,"Data management, Consulting, microsoft, Analytics, SQL, IT Skills, Artificial Intelligence, Power BI"
1708,Data Analyst,VOLVO ASSET FINANCE INDIA PRIVATE LIMITED,Bangalore/Bengaluru,"Computer science, Usage, Simulation, Construction equipment, Product planning, Data Analyst, Product support, Analytics"
1709,Reference Data Analyst,Deutsche Bank,Bangalore/Bengaluru,"Diversity and Inclusion, Data Analyst"
1710,Hiring For Data Analyst with SAP ABAP & BW - C2H Wipro,MILLION MINDS INFOTECH PRIVATE LIMITED,Bangalore/Bengaluru,"SAP ABAP, SAP BW, ABAP, BW, IT Skills, SAP, Data Analyst"
1711,Deputy Manager - Data & Business Analyst,Schneider Electric,Gurgaon/Gurugram,"data cleansing, Data migration, Data management, Project management, Data quality, Install base, Service marketing, Continuous improvement"
1712,Senior Lead Data Engineer,ASSA ABLOY Opening Solutions,Chennai,"Computer science, RDBMS, Database design, Postgresql, MySQL, Agile, Oracle, Operations"
1713,Lead/Senior Software Engineer - Big Data,Freshdesk,Chennai,"Spark, Python, Ruby, Solr, JVM, Java, Cloudera, HDFS"
1714,Lead Data Engineer,Persistent,Bangalore/Bengaluru,"aws glue, python, pyspark"
1715,Lead Data Engineer,Wells Fargo,Bangalore/Bengaluru,"Python, IT Skills, Software Development, Testing, Cloud, Tableau, webservices, SSRS"
1716,Sr Analyst Data Engineer DevOp,GLOBALFOUNDRIES,Bangalore/Bengaluru,"PySpark, Software Development Life Cycle, Snowflake, Production Engineering, Big Data, Data Warehousing, AWS, Manufacturing Engineering"
1717,Senior Analyst Data Engineering,Smart Cube,Noida,"Analyst, Statistical modeling, Machine learning, Scheduling, Natural language processing, Digital marketing, big data, Business understanding"
1718,Senior Analyst - Data Engineering,Smart Cube,Noida,"Statistical modeling, Machine learning, Scheduling, Natural language processing, Digital marketing, big data, Business understanding, Data warehousing"
1719,Ecosystem Senior Data Engineer,Accenture,Bangalore/Bengaluru,"PySpark, SQL, Python, databases, Azure, Databricks, big data, Data prep"
1720,Senior Data Engineer,Becton Dickinson India Pvt Ltd,Bangalore/Bengaluru,"Computer science, Cloud computing, Data analysis, SAP, Linux, MIS, Analytical, Agile"
1721,Sr . Data Engineer,Visa,Bangalore/Bengaluru,"IT Skills, Java, Software Development, Testing, Selenium, Big Data, Jenkins, Computer science"
